model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv
k2016,F,down,0.7,TRUE,1,0.805238403585119,0.699807988054843,9.48264945357152e-05,0.774767560437703,5.70547252023264e-05,8,0,0.1,,,200000,TRUE,FALSE
k2016,F,down,0.75,TRUE,1,0.838970605126325,0.749826891958083,7.50780103081693e-05,0.813731535043091,4.48322940533694e-05,10,0,0.1,,,200000,TRUE,FALSE
k2016,F,down,0.8,TRUE,1,0.872152535936487,0.79988525403249,5.7225139276117e-05,0.852080931927538,3.39337539959658e-05,9,0,0.1,,,200000,TRUE,FALSE
k2016,F,down,0.85,TRUE,1,0.904779951517323,0.849895789156433,4.10169988395278e-05,0.889807878836767,2.41663502942421e-05,9,0,0.1,,,200000,TRUE,TRUE
k2016,F,down,0.9,TRUE,1,0.936870766022085,0.899812601831346,2.62298838494249e-05,0.926930552456146,1.53617344777546e-05,8,0,0.1,,,200000,TRUE,TRUE
k2016,F,down,0.95,TRUE,1,0.968646613771892,0.949920923227653,1.25893446829752e-05,0.96370327443162,7.33139754323056e-06,9,0,0.1,,,200000,TRUE,TRUE
k2016,F,down,1.05,FALSE,0,,,,,,,,0.1,0.00265163890629311,0.0139955382132742,200000,FALSE,FALSE
k2016,F,down,1.11,FALSE,0,,,,,,,,0.1,0.00265163890629311,0.0139955382132742,200000,FALSE,FALSE
k2016,F,down,1.18,FALSE,0,,,,,,,,0.1,0.00265163890629311,0.0139955382132742,200000,FALSE,FALSE
k2016,F,down,1.25,FALSE,0,,,,,,,,0.1,0.00265163890629311,0.0139955382132742,200000,FALSE,FALSE
k2016,F,down,1.33,FALSE,0,,,,,,,,0.1,0.00265163890629311,0.0139955382132742,200000,FALSE,FALSE
k2016,F,down,1.43,FALSE,0,,,,,,,,0.1,0.00265163890629311,0.0139955382132742,200000,FALSE,FALSE
k2016,F,up,0.7,FALSE,0,,,,,,,,1.64744645634267,2.14215565323557,1.75125476854851,200000,FALSE,FALSE
k2016,F,up,0.75,FALSE,0,,,,,,,,1.64744645634267,2.14215565323557,1.75125476854851,200000,FALSE,FALSE
k2016,F,up,0.8,FALSE,0,,,,,,,,1.64744645634267,2.14215565323557,1.75125476854851,200000,FALSE,FALSE
k2016,F,up,0.85,FALSE,0,,,,,,,,1.64744645634267,2.14215565323557,1.75125476854851,200000,FALSE,FALSE
k2016,F,up,0.9,FALSE,0,,,,,,,,1.64744645634267,2.14215565323557,1.75125476854851,200000,FALSE,FALSE
k2016,F,up,0.95,FALSE,0,,,,,,,,1.64744645634267,2.14215565323557,1.75125476854851,200000,FALSE,FALSE
k2016,F,up,1.05,TRUE,1,1.03102311106189,1.05014915104572,1.16960072606362e-05,1.03592599365433,6.73984000234682e-06,6,0,1.64744645634267,,,200000,TRUE,TRUE
